ID,Model Technical Name,Display Name,Type,State
2,_unknown,Unknown,Regular,base
292,account.account,Account,Regular,base
290,account.account.tag,Account Tag,Regular,base
1530,account.accrued.orders.wizard,Accrued Orders Wizard,Transient,base
1782,account.aged.partner.balance.report.handler,Aged Partner Balance Custom Handler,Regular,base
1783,account.aged.payable.report.handler,Aged Payable Custom Handler,Regular,base
1784,account.aged.receivable.report.handler,Aged Receivable Custom Handler,Regular,base
177,account.analytic.account,Analytic Account,Regular,base
1658,account.analytic.applicability,Analytic Plan's Applicabilities,Regular,base
1661,account.analytic.distribution.model,Analytic Distribution Model,Regular,base
178,account.analytic.line,Analytic Line,Regular,base
176,account.analytic.plan,Analytic Plans,Regular,base
404,account.asset,Asset/Revenue Recognition,Regular,base
1792,account.asset.report.handler,Assets Report Custom Handler,Regular,base
2020,account.auto.reconcile.wizard,Account automatic reconciliation wizard,Transient,base
1022,account.automatic.entry.wizard,Create Automatic Entries,Transient,base
3187,account.bank.reconciliation.report.handler,Bank Reconciliation Report Custom Handler,Regular,base
2036,account.bank.selection,Link a bank account to the selected journal,Transient,base
309,account.bank.statement,Bank Statement,Regular,base
310,account.bank.statement.line,Bank Statement Line,Regular,base
2038,account.bank.statement.line.transient,Transient model for bank statement line,Transient,base
1120,account.batch.error.wizard,Batch payments error reporting wizard,Transient,base
1121,account.batch.error.wizard.line,Batch payments error reporting wizard line,Transient,base
798,account.batch.payment,Batch Payment,Regular,base
1758,account.batch.payment.rejection,Manage the payment rejection from batch payments,Transient,base
422,account.budget.post,Budgetary Position,Regular,base
1779,account.cash.flow.report.handler,Cash Flow Report Custom Handler,Regular,base
324,account.cash.rounding,Account Cash Rounding,Regular,base
356,account.change.lock.date,Change Lock Date,Transient,base
2007,account.chart.template,Account Chart Template,Regular,base
2049,account.deferred.expense.report.handler,Deferred Expense Custom Handler,Regular,base
2048,account.deferred.report.handler,Deferred Expense Report Custom Handler,Regular,base
2050,account.deferred.revenue.report.handler,Deferred Revenue Custom Handler,Regular,base
1786,account.ec.sales.report.handler,EC Sales Report Custom Handler,Regular,base
1759,account.edi.common,Common functions for EDI documents: generate the data; the constraints; etc,Regular,base
1082,account.edi.document,Electronic Document for an account.move,Regular,base
1081,account.edi.format,EDI format,Regular,base
1760,account.edi.xml.cii,Factur-x/XRechnung CII 2.2.0,Regular,base
1761,account.edi.xml.ubl_20,UBL 2.0,Regular,base
1762,account.edi.xml.ubl_21,UBL 2.1,Regular,base
1767,account.edi.xml.ubl_a_nz,A-NZ BIS Billing 3.0,Regular,base
1763,account.edi.xml.ubl_bis3,UBL BIS Billing 3.0.12,Regular,base
1764,account.edi.xml.ubl_de,BIS3 DE (XRechnung),Regular,base
1766,account.edi.xml.ubl_efff,E-FFF (BE),Regular,base
1765,account.edi.xml.ubl_nl,SI-UBL 2.0 (NLCIUS),Regular,base
1768,account.edi.xml.ubl_sg,SG BIS Billing 3.0,Regular,base
335,account.financial.year.op,Opening Balance of Financial Year,Transient,base
286,account.fiscal.position,Fiscal Position,Regular,base
288,account.fiscal.position.account,Accounts Mapping of Fiscal Position,Regular,base
287,account.fiscal.position.tax,Tax Mapping of Fiscal Position,Regular,base
323,account.fiscal.year,Fiscal Year,Regular,base
410,account.followup.report,Follow-up Report,Regular,base
314,account.full.reconcile,Full Reconcile,Regular,base
1774,account.general.ledger.report.handler,General Ledger Custom Handler,Regular,base
1775,account.generic.tax.report.handler,Generic Tax Report Custom Handler,Regular,base
1776,account.generic.tax.report.handler.account.tax,Generic Tax Report Custom Handler (Account -> Tax),Regular,base
1777,account.generic.tax.report.handler.tax.account,Generic Tax Report Custom Handler (Tax -> Account),Regular,base
293,account.group,Account Group,Regular,base
326,account.incoterms,Incoterms,Regular,base
339,account.invoice.report,Invoices Statistics,Regular,base
359,account.invoice_extract.words,Extracted words from invoice scan,Regular,base
296,account.journal,Journal,Regular,base
295,account.journal.group,Account Journal Group,Regular,base
1778,account.journal.report.handler,Journal Report Custom Handler,Regular,base
2037,account.missing.transaction.wizard,Wizard for missing transactions,Transient,base
311,account.move,Journal Entry,Regular,base
795,account.move.approval,Bill approval lines,Regular,base
312,account.move.line,Journal Item,Regular,base
796,account.move.reject,Vendor Bill Rejection,Transient,base
331,account.move.reversal,Account Move Reversal,Transient,base
2010,account.move.send,Account Move Send,Transient,base
794,account.move.stage,Bill Approval Stages,Regular,base
1780,account.multicurrency.revaluation.report.handler,Multicurrency Revaluation Report Custom Handler,Regular,base
1139,account.multicurrency.revaluation.wizard,Multicurrency Revaluation Wizard,Transient,base
1164,account.online.account,representation of an online bank account,Regular,base
1165,account.online.link,Bank Connection,Regular,base
313,account.partial.reconcile,Partial Reconcile,Regular,base
1785,account.partner.ledger.report.handler,Partner Ledger Custom Handler,Regular,base
302,account.payment,Payments,Regular,base
301,account.payment.method,Payment Methods,Regular,base
1525,account.payment.method.line,Payment Methods,Regular,base
303,account.payment.register,Register Payment,Transient,base
304,account.payment.term,Payment Terms,Regular,base
305,account.payment.term.line,Payment Terms Line,Regular,base
300,account.reconcile.model,Preset to create journal entries during a invoices and payments matching,Regular,base
1007,account.reconcile.model.line,Rules for the reconciliation model,Regular,base
1006,account.reconcile.model.partner.mapping,Partner mapping for reconciliation models,Regular,base
2021,account.reconcile.wizard,Account reconciliation wizard,Transient,base
380,account.report,Accounting Report,Regular,base
1717,account.report.column,Accounting Report Column,Regular,base
1772,account.report.custom.handler,Account Report Custom Handler,Regular,base
1716,account.report.expression,Accounting Report Expression,Regular,base
1718,account.report.external.value,Accounting Report External Value,Regular,base
2059,account.report.file.download.error.wizard,Manage the file generation errors from report exports.,Transient,base
379,account.report.footnote,Account Report Footnote,Regular,base
1770,account.report.horizontal.group,Horizontal group for reports,Regular,base
1771,account.report.horizontal.group.rule,Horizontal group rule for reports,Regular,base
1715,account.report.line,Accounting Report Line,Regular,base
1023,account.resequence.wizard,Remake the sequence of Journal Entries.,Transient,base
294,account.root,Account codes first 2 digits,Regular,base
336,account.setup.bank.manual.config,Bank setup manual config,Transient,base
298,account.tax,Tax,Regular,base
297,account.tax.group,Tax Group,Regular,base
299,account.tax.repartition.line,Tax Repartition Line,Regular,base
2042,account.tax.report.handler,Account Report Handler for Tax Reports,Regular,base
1590,account.tax.unit,Tax Unit,Regular,base
1024,account.tour.upload.bill,Account tour upload bill,Transient,base
1025,account.tour.upload.bill.email.confirm,Account tour upload bill email confirm,Transient,base
376,account.transfer.model,Account Transfer Model,Regular,base
377,account.transfer.model.line,Account Transfer Model Line,Regular,base
1781,account.trial.balance.report.handler,Trial Balance Custom Handler,Regular,base
328,account.unreconcile,Account Unreconcile,Transient,base
409,account_followup.followup.line,Follow-up Criteria,Regular,base
1793,account_followup.manual_reminder,Wizard for sending manual reminders to clients,Transient,base
2065,account_followup.missing.information.wizard,Followup missing information wizard,Transient,base
394,account_reports.export.wizard,Export wizard for accounting's reports,Transient,base
395,account_reports.export.wizard.format,Export format for accounting's reports,Transient,base
1300,activity.report,Users Activity Analysis,Regular,base
1660,analytic.mixin,Analytic Mixin,Regular,base
1353,applicant.get.refuse.reason,Get Refuse Reason,Transient,base
1723,applicant.send.mail,Send mails to applicants,Transient,base
2680,appraisal.ask.feedback,Ask Feedback for Appraisal,Transient,base
797,approval.rule,Vendor Bill Approval Rules,Regular,base
405,asset.modify,Modify Asset,Transient,base
1428,auth_totp.device,Authentication Device,Regular,base
1160,auth_totp.wizard,2-Factor Setup Wizard,Transient,base
1421,avatar.mixin,Avatar Mixin,Regular,base
1744,bank.rec.widget,Bank reconciliation widget for a single statement line,Regular,base
1745,bank.rec.widget.line,Line of the bank reconciliation widget,Regular,base
128,barcode.nomenclature,Barcode Nomenclature,Regular,base
129,barcode.rule,Barcode Rule,Regular,base
130,barcodes.barcode_events_mixin,Barcode Event Mixin,Regular,base
1,base,Base,Regular,base
427,base.automation,Automation Rule,Regular,base
104,base.document.layout,Company Document Layout,Transient,base
1420,base.enable.profiling.wizard,Enable profiling for some time,Transient,base
498,base.geo_provider,Geo Provider,Regular,base
499,base.geocoder,Geo Coder,Regular,base
426,base.import.module,Import Module,Transient,base
100,base.language.export,Language Export,Transient,base
97,base.language.import,Language Import,Transient,base
96,base.language.install,Install Language,Transient,base
1796,base.module.install.request,Module Activation Request,Transient,base
1797,base.module.install.review,Module Activation Review,Transient,base
99,base.module.uninstall,Module Uninstall,Transient,base
95,base.module.update,Update Module,Transient,base
98,base.module.upgrade,Upgrade Module,Transient,base
103,base.partner.merge.automatic.wizard,Merge Partner Wizard,Transient,base
102,base.partner.merge.line,Merge Partner Line,Transient,base
553,base_import.import,Base Import,Transient,base
552,base_import.mapping,Base Import Mapping,Regular,base
636,board.board,Board,Regular,base
468,board.calculator,Board Calculator,Regular,base
469,board.calculator.line,Board Calculator Line,Regular,base
131,bus.bus,Communication Bus,Regular,base
132,bus.presence,User Presence,Regular,base
182,calendar.alarm,Event Alarm,Regular,base
181,calendar.alarm_manager,Event Alarm Manager,Regular,base
180,calendar.attendee,Calendar Attendee Information,Regular,base
184,calendar.event,Calendar Event,Regular,base
183,calendar.event.type,Event Meeting Type,Regular,base
179,calendar.filters,Calendar Filters,Regular,base
1992,calendar.popover.delete.wizard,Calendar Popover Delete Wizard,Transient,base
1664,calendar.provider.config,Calendar Provider Configuration Wizard,Transient,base
932,calendar.recurrence,Event Recurrence Rule,Regular,base
1622,change.password.own,User; change own password wizard,Transient,base
92,change.password.user,User; Change Password Wizard,Transient,base
